Exported from Sap Flow Tool (1.5.0) on 19/05/2019 at 21:01
date time,DOY,HRM Sap Flow Meter (SFM1) (SFM1G40O),HRM Sap Flow Meter (SFM1) (SFM1G40O),HRM Sap Flow Meter (SFM1) (SFM1G40O),HRM Sap Flow Meter (SFM1) (SFM1G40O),
dd/MM/yyyy hh:mm:ss.zzz,DOY,0_OuterDownstream(DegC),1_OuterUpstream(DegC),2_InnerDownstream(DegC),3_InnerUpstream(DegC),
30/10/2017 19:31:09.000,303,18.6383419,18.88683891,19.26596451,18.98216438,
30/10/2017 19:31:10.000,303,18.67334557,18.91175461,19.27237892,18.97975159,
30/10/2017 19:31:11.000,303,18.70096779,18.93833542,19.27550125,18.97598648,
30/10/2017 19:31:12.000,303,18.73010063,18.96116829,19.27700806,18.9700489,
30/10/2017 19:31:13.000,303,18.75537491,18.97810745,19.27641678,18.96365738,
30/10/2017 19:31:14.000,303,18.77492905,18.99562073,19.27458382,18.95526886,
30/10/2017 19:31:15.000,303,18.79526329,19.01053238,19.27111053,18.94585419,
30/10/2017 19:31:16.000,303,18.81274986,19.02137566,19.26612473,18.9371357,
30/10/2017 19:31:17.000,303,18.82629776,19.03259468,19.26071739,18.92578697,
30/10/2017 19:31:18.000,303,18.84031487,19.04192352,19.25322533,18.91605377,
30/10/2017 19:31:19.000,303,18.85243034,19.04829597,19.24502563,18.90400696,
30/10/2017 19:31:20.000,303,18.86137962,19.05461884,19.2373867,18.89179993,
30/10/2017 19:31:21.000,303,18.87051582,19.05879211,19.22799873,18.87926292,
30/10/2017 19:31:22.000,303,18.87730217,19.06144524,19.21804619,18.86844444,
30/10/2017 19:31:23.000,303,18.88192177,19.06404495,19.2088623,18.85567665,
30/10/2017 19:31:24.000,303,18.88688278,19.06503487,19.19750786,18.84218788,
30/10/2017 19:31:25.000,303,18.89003372,19.06497765,19.18526077,18.83088493,
30/10/2017 19:31:26.000,303,18.89123917,19.06373596,19.17480659,18.81766891,
30/10/2017 19:31:27.000,303,18.89317703,19.06121445,19.16217613,18.80447388,
30/10/2017 19:31:28.000,303,18.89458847,19.0586319,19.1496067,18.79297256,
30/10/2017 19:31:29.000,303,18.89512634,19.05500793,19.13903809,18.77940941,
30/10/2017 19:31:30.000,303,18.89507866,19.05014992,19.12645912,18.76581383,
30/10/2017 19:31:31.000,303,18.89436913,19.04551506,19.11388969,18.75474358,
30/10/2017 19:31:32.000,303,18.89214134,19.03967476,19.10300636,18.74225998,
30/10/2017 19:31:33.000,303,18.89056206,19.0335331,19.09013939,18.72945023,
30/10/2017 19:31:34.000,303,18.88863945,19.02751732,19.0774231,18.71818352,
30/10/2017 19:31:35.000,303,18.88597488,19.0199585,19.06630325,18.70545769,
30/10/2017 19:31:36.000,303,18.88218307,19.01218987,19.05340576,18.69286156,
30/10/2017 19:31:37.000,303,18.87814713,19.00507736,19.04038429,18.68216705,
30/10/2017 19:31:38.000,303,18.87394333,18.99654961,19.02939224,18.67000771,
30/10/2017 19:31:39.000,303,18.86927795,18.98819923,19.01650429,18.65788078,
30/10/2017 19:31:40.000,303,18.86330795,18.97950554,19.00325966,18.64774704,
30/10/2017 19:31:41.000,303,18.85694695,18.97187614,18.99199104,18.63642502,
30/10/2017 19:31:42.000,303,18.85090256,18.96224785,18.9793129,18.62464142,
30/10/2017 19:31:43.000,303,18.84353447,18.95234299,18.96678734,18.61489105,
30/10/2017 19:31:44.000,303,18.83509254,18.94378281,18.9556694,18.60407829,
30/10/2017 19:31:45.000,303,18.82793617,18.93289566,18.94316292,18.59258652,
30/10/2017 19:31:46.000,303,18.81933975,18.92362022,18.93084526,18.5831089,
30/10/2017 19:31:47.000,303,18.81177902,18.91307449,18.91994095,18.57225227,
30/10/2017 19:31:48.000,303,18.8024826,18.90242577,18.90758514,18.56307793,
30/10/2017 19:31:49.000,303,18.79342651,18.89333725,18.89723587,18.55253792,
30/10/2017 19:31:50.000,303,18.78538895,18.88231087,18.88514137,18.54238129,
30/10/2017 19:31:51.000,303,18.77589989,18.87150383,18.87342072,18.53357697,
30/10/2017 19:31:52.000,303,18.7659626,18.86228752,18.86352539,18.52368736,
30/10/2017 19:31:53.000,303,18.75811386,18.85208893,18.85209846,18.51365852,
30/10/2017 19:31:54.000,303,18.74941444,18.84146309,18.84061241,18.50513077,
30/10/2017 19:31:55.000,303,18.74051857,18.83248138,18.83098602,18.49540901,
30/10/2017 19:31:56.000,303,18.7329216,18.82252693,18.81995964,18.48597145,
30/10/2017 19:31:57.000,303,18.7238903,18.81261635,18.80882072,18.47822189,
30/10/2017 19:31:58.000,303,18.71441269,18.80369949,18.79797554,18.46922874,
30/10/2017 19:31:59.000,303,18.70700645,18.79402351,18.78908539,18.46020317,
30/10/2017 19:32:00.000,303,18.69919968,18.78419876,18.77853775,18.45137787,
30/10/2017 19:32:01.000,303,18.69026184,18.77624702,18.7675705,18.4437561,
30/10/2017 19:32:02.000,303,18.68187332,18.76641083,18.7586422,18.43537331,
30/10/2017 19:32:03.000,303,18.67495155,18.75702477,18.74881744,18.42683029,
30/10/2017 19:32:04.000,303,18.66624832,18.74918556,18.73857117,18.42001152,
30/10/2017 19:32:05.000,303,18.65823936,18.74006081,18.73027229,18.41174698,
30/10/2017 19:32:06.000,303,18.64915085,18.73069954,18.72037315,18.40478897,
30/10/2017 19:32:07.000,303,18.64008331,18.72277451,18.71156693,18.39670753,
30/10/2017 19:32:08.000,303,18.63248444,18.7130146,18.70191765,18.38881302,
30/10/2017 19:32:09.000,303,18.62353516,18.70368576,18.69225311,18.38213348,
30/10/2017 19:32:10.000,303,18.61522675,18.69555855,18.68411446,18.37468338,
30/10/2017 19:32:11.000,303,18.60810852,18.68604279,18.67502785,18.36740303,
30/10/2017 19:32:12.000,303,18.59970474,18.6770134,18.66586876,18.36107826,
30/10/2017 19:32:13.000,303,18.59115601,18.66879463,18.65662003,18.35390663,
30/10/2017 19:32:14.000,303,18.58433723,18.65904999,18.64925194,18.34693718,
30/10/2017 19:32:15.000,303,18.57641792,18.649786,18.64061737,18.34082031,
30/10/2017 19:32:16.000,303,18.56873894,18.64188385,18.63312531,18.33366013,
30/10/2017 19:32:17.000,303,18.56220245,18.6330452,18.62424088,18.32697105,
30/10/2017 19:32:18.000,303,18.55427361,18.62379265,18.61593246,18.32155609,
30/10/2017 19:32:19.000,303,18.54632759,18.61608124,18.60897446,18.31463432,
30/10/2017 19:32:20.000,303,18.53962708,18.60740471,18.60073471,18.30809021,
30/10/2017 19:32:21.000,303,18.53222084,18.59859848,18.59211731,18.3026638,
30/10/2017 19:32:22.000,303,18.52415085,18.59097862,18.58516884,18.29638672,
30/10/2017 19:32:23.000,303,18.51742363,18.58254242,18.57736206,18.29009819,
30/10/2017 19:32:24.000,303,18.50911522,18.57432365,18.56977463,18.28485489,
30/10/2017 19:32:25.000,303,18.50016594,18.56710434,18.56319618,18.27880859,
